Subperiod,Days
Jan 23,31
Feb 23,28
Mar 23,31
Apr 23,30
May 23,31
Jun 23,30
Jul 23,31
Aug 23,31
Sep 23,30
Oct 23,31
Nov 23,30
Dec 23,31
Jan 24,31
Feb 24,29
Mar 24,31
Apr 24,0
